Airline,Origin,mean
American Airlines Inc.,STL,15.2324431256182
American Airlines Inc.,STT,13.204359673024523
American Airlines Inc.,STX,15.072072072072071
American Airlines Inc.,SYR,16.876404494382022
American Airlines Inc.,TPA,14.773301262778112
American Airlines Inc.,TUL,19.807692307692307
American Airlines Inc.,TUS,13.559468438538206
American Airlines Inc.,VPS,16.236514522821576
American Airlines Inc.,XNA,17.871559633027523
Cape Air,GUM,9.352
Cape Air,ROP,8.158940397350994
Cape Air,SPN,7.046419098143236
Capital Cargo International,ABE,18.01261829652997
Capital Cargo International,AGS,15.991935483870968
Capital Cargo International,ALB,16.725581395348836
Capital Cargo International,ART,17.50190114068441
Capital Cargo International,AVL,13.166666666666666
Capital Cargo International,AVP,17.210855949895617
Capital Cargo International,BDL,16.820359281437124
Capital Cargo International,BGR,16.320987654320987
Capital Cargo International,BHM,17.88
Capital Cargo International,BNA,17.916666666666668
Capital Cargo International,BOS,25.24025974025974
Capital Cargo International,BTV,17.855967078189302
Capital Cargo International,BUF,18.83366733466934
Capital Cargo International,BWI,17.127371273712736
Capital Cargo International,CAE,15.805343511450381
Capital Cargo International,CHA,17.979166666666668
Capital Cargo International,CHO,14.493738819320214
Capital Cargo International,CHS,15.648829431438127
Capital Cargo International,CLE,18.891402714932127
Capital Cargo International,CLT,24.56707422076804
Capital Cargo International,CMH,17.53472222222222
Capital Cargo International,DTW,21.15126050420168
Capital Cargo International,ERI,17.61111111111111
Capital Cargo International,EWN,16.56050955414013
Capital Cargo International,FAY,16.454545454545453
Capital Cargo International,FLO,18.028169014084508
Capital Cargo International,FWA,17.15753424657534
Capital Cargo International,GRR,16.135802469135804
Capital Cargo International,GSO,18.52445652173913
Capital Cargo International,GSP,17.3
Capital Cargo International,HTS,19.00438596491228
Capital Cargo International,ILM,15.672661870503598
Capital Cargo International,IND,17.764705882352942
Capital Cargo International,IPT,14.803921568627452
Capital Cargo International,ISP,17.08252427184466
Capital Cargo International,ITH,21.669975186104217
Capital Cargo International,JFK,24.545454545454547
Capital Cargo International,LEX,16.114967462039047
Capital Cargo International,LYH,19.784543325526933
Capital Cargo International,MDT,17.032888888888888
Capital Cargo International,MGM,15.744094488188976
Capital Cargo International,MHT,15.885644768856448
Capital Cargo International,MKE,16.412199630314234
Capital Cargo International,MYR,14.870967741935484
Capital Cargo International,OAJ,14.358823529411765
Capital Cargo International,ORF,14.117948717948718
Capital Cargo International,ORH,19.388535031847134
Capital Cargo International,PGV,20.541463414634148
Capital Cargo International,PHF,16.808353808353807
Capital Cargo International,PHL,23.58917728698205
Capital Cargo International,PIT,11.0
Capital Cargo International,PVD,19.083333333333332
Capital Cargo International,PWM,17.003898635477583
Capital Cargo International,RIC,17.826187717265352
Capital Cargo International,ROA,18.980665119876257
Capital Cargo International,ROC,17.872408293460925
Capital Cargo International,SAV,15.0
Capital Cargo International,SBY,13.89942857142857
Capital Cargo International,SCE,16.517045454545453
Capital Cargo International,SDF,21.636363636363637
Capital Cargo International,SWF,17.864406779661017
Capital Cargo International,SYR,17.464071856287426
Capital Cargo International,TRI,18.52027027027027
Capital Cargo International,TYS,19.158730158730158
Comair Inc.,ABE,12.509977827050998
Comair Inc.,AGS,13.092016238159676
Comair Inc.,ALB,12.773480662983426
Comair Inc.,ART,15.833333333333334
Comair Inc.,ATL,20.633911368015415
Comair Inc.,AUS,10.333333333333334
Comair Inc.,AVL,16.924170616113745
Comair Inc.,AVP,12.728571428571428
Comair Inc.,BDL,11.004178272980502
Comair Inc.,BGR,11.354066985645932
Comair Inc.,BHM,13.290637191157348
Comair Inc.,BNA,14.02212389380531
Comair Inc.,BTR,11.358078602620088
Comair Inc.,BTV,14.177570093457945
Comair Inc.,BUF,15.473684210526315
Comair Inc.,BWI,17.885245901639344
Comair Inc.,CAE,12.794896030245747
Comair Inc.,CAK,13.651126651126651
Comair Inc.,CHA,12.23796423658872
Comair Inc.,CHO,15.551948051948052
Comair Inc.,CHS,15.231660231660232
Comair Inc.,CID,13.040677966101695
Comair Inc.,CLE,13.563157894736841
Comair Inc.,CLT,19.989930546590585
Comair Inc.,CMH,14.033797216699801
Comair Inc.,CRW,11.97773654916512
Comair Inc.,CVG,14.174172794117647
Comair Inc.,DAB,13.804920913884008
Comair Inc.,DAY,13.686192468619247
Comair Inc.,DCA,16.64385433954896
Comair Inc.,DSM,13.1419624217119
Comair Inc.,DTW,15.235185185185186
Comair Inc.,EVV,16.93425605536332
Comair Inc.,EWN,12.426763110307414
Comair Inc.,FAY,16.896815286624204
Comair Inc.,FWA,10.970588235294118
Comair Inc.,GNV,9.457975986277873
Comair Inc.,GPT,10.621908127208481
Comair Inc.,GRR,15.576832151300236
Comair Inc.,GSO,17.87355110642782
Comair Inc.,GSP,15.028183190739808
Comair Inc.,HPN,14.805330243337195
Comair Inc.,HSV,15.23739837398374
Comair Inc.,HTS,12.623188405797102
Comair Inc.,HVN,10.25679012345679
Comair Inc.,IAD,21.3003663003663
Comair Inc.,ILM,13.387971698113208
Comair Inc.,IND,13.64026402640264
Comair Inc.,ITH,34.0
Comair Inc.,JAN,12.92877094972067
Comair Inc.,JAX,12.315040650406504
Comair Inc.,JFK,23.621276595744682
Comair Inc.,LEX,15.958990536277602
Comair Inc.,LGA,22.171507607192254
Comair Inc.,LIT,12.572243346007605
Comair Inc.,LYH,15.418546365914787
Comair Inc.,MCI,11.83529411764706
Comair Inc.,MDT,13.073717948717949
Comair Inc.,MEM,12.570121951219512
Comair Inc.,MGM,12.062256809338521
Comair Inc.,MHT,12.483193277310924
Comair Inc.,MKE,12.299813780260708
Comair Inc.,MLB,12.192634560906516
Comair Inc.,MOB,9.72936660268714
Comair Inc.,MSN,13.516183986371379
Comair Inc.,MSY,10.64
Comair Inc.,MYR,15.70754716981132
Comair Inc.,OAJ,17.82866043613707
Comair Inc.,OKC,13.368600682593856
Comair Inc.,OMA,14.447019867549669
Comair Inc.,ORD,18.368756641870352
Comair Inc.,ORF,14.292247629670943
Comair Inc.,PGV,14.47860962566845
Comair Inc.,PHF,13.285714285714286
Comair Inc.,PHL,18.598445595854923
Comair Inc.,PIA,12.15625
Comair Inc.,PIT,12.275109170305678
Comair Inc.,PNS,12.357142857142858
Comair Inc.,PVD,11.538359788359788
Comair Inc.,PWM,12.061630218687872
Comair Inc.,RAP,12.076923076923077
Comair Inc.,RDU,17.13953488372093
Comair Inc.,RIC,16.52068126520681
Comair Inc.,ROA,14.727272727272727
Comair Inc.,ROC,12.893518518518519
Comair Inc.,SAT,11.113821138211382
Comair Inc.,SAV,14.779947916666666
Comair Inc.,SDF,13.449612403100776
Comair Inc.,SHV,10.739583333333334
Comair Inc.,SRQ,11.954802259887005
Comair Inc.,STL,11.735772357723578
Comair Inc.,SYR,14.49079754601227
Comair Inc.,TLH,11.854132901134522
Comair Inc.,TOL,9.227586206896552
Comair Inc.,TRI,14.011363636363637
Comair Inc.,TUL,12.34
Comair Inc.,TYS,14.957002457002456
Comair Inc.,VPS,13.56567425569177
Comair Inc.,XNA,13.333800841514726
